"airlineName","title","content","month","year","rating"
"Pegasus-Airlines","Strange baggage rules and poor food","Check in not possible online and had to check a bag weighing 4.5 kgs at check in as I also had a laptop bag. Did not have to on my return flight, so much for Pegasus policy. Pre ordered food and it was so dry and I then had to purchase a drink. Ailse seat which was comfortable at extra cost. Landed on time and small bag arrived quickly",10,2023,3
"Pegasus-Airlines","Terrible airline","I booked 00:20 flight on 15th of September l went to airport and they said you should’ve been here last night and don’t blame yourself so many others do the same mistake because they became confused to select the right date. I haven’t received even a dime from them for missed flight. Unfortunately my return flight also was booked by pegasus. And it was my first flight with them. It was definitely the most terrible experience I’ve had with an airline.
They charged me 253£ for 23kg extra baggage. During the flight they were selling food and drinks and didn’t give passengers even one bottle of water for free.
When I received my bags in the airport one of them was crushed. Since then I’ve tried to reach them but they don’t have any email address and contact number seems to be wrong.
Simply I won’t fly with them ever again.
And make sure no one around me does it as well.",10,2023,1
"Pegasus-Airlines","SAW airport the busiest single runway airport in the world and Pegasus main hu","The airport is incredibly budget-oriented, giving off an appearance of wear and tear. Pegasus has selected SAW as its main hub, which is known as the busiest single-runway airport in the world. During my layover there, I encountered a considerable wait due to an extensive line of airplanes awaiting their turn on the sole runway.

Upon finally boarding the aircraft, we found ourselves stuck in a traffic jam on the tarmac for an entire hour, moving only 10 feet every 5 minutes. To make matters worse, after a total of 1.5-hour delay on the runway and the gate, when I requested water (since my personal supply had been depleted – an amount that should have been sufficient for a 3-hour flight), the crew actually charged 2 EUR for water.

Given this experience, I would strongly advise avoiding SAW Airport altogether.",10,2023,2
"Pegasus-Airlines","Don't expect any help or service","We had to wait a long time in a corridor with bad air to board the plane. Two kids got sick on the plane, there were no sick bags for them and the crew was absolutely no help. They had no cleaning supplies, other passangers helped by giving wet wipes and plastic bags.
Horrible airline for families but then again, if you buy cheap, you get cheap.",10,2023,1
"Pegasus-Airlines","Zero","26th September 2023 I took flight from Berlin to Dubai. My hand baggage was taken by air attendant before catching the flight. After that I never saw my baggage. Till date after so many efforts they lost my bag and don’t reply to my emails of calls. I had valuable things in it.
I’m going to the German court to settle the matter.",10,2023,1
"Pegasus-Airlines","Absolutely avoid.","I travelled for weight loss surgery. Please remember this.

We got to saw airport and had assistance through the airport (3 days post op). The assistance at the actual airport was faultless.

However, boarding the plane was something I have never experienced.
We were loaded on to the front of the plane and had to get to thr back row WITHOUT help as they didn't want to help.

Immediately boarding the NASTY stewardess was very rude to us asking why we needed assistance. I have never in my life been asked why I need assistance. She asked loudly in front of everyone.

She didn't believe me when I told her I had surgery and asked for proof!
My proof was under the plane in my suitcase with my medication (needles). She harassed me for 20 minutes I explained if you go get my bag I will show you.

She even asked to see my scars. IN FRONT OF EVERYONE. It was so humiliating. So I showed her and she was just very nasty about the whole thing telling me I wasn't smart to leave my papers under the plane.

I PAID for back row window seats and people were in our seats, the stewards didn't care and did not ask them to move either. I did not get a refund for this.

Now. There is a family to my left on the same row as me and the row infant to my left. The kid who is about 8 kept trying to kick me and no body did anything at all. His legs were hanging in the aisle and the staff and other flyers kept bumping I to me (I JUST HAD SURGERY) instead of asking this brat to move his legs and behave.

I needed the toilet and there was a man on the back row slumped across two seats and the whole aisle I nearly fell trying to climb over this large man. I asked the staff to move him and they tutted me.

Getting off the plane.
We were made to wait 40 minutes foe the lift to come get us, we were on there whilst the cleaners got on! They just left us. They did not care.

They made it very clear they did not care about a complaint. Now I know why. I made a complaint and they did not care in the slightest. So that's why their staff behave like animals and treat people with zero respect. They can get away with it.

I was humiliated on this airline and there was no repercussions.

I asked for a refund of my seats as we didn't get to sit in our seats because other people took them and they said no.

They said they investigated and there's nothing to report. I am beyond disgusted with this line and would not recommend at all.",10,2023,1
"Pegasus-Airlines","bad organisation","worst sevice ever..they suddenly change the gate number and i lost my flight.they wanted 670 euro for the next trip.never again",10,2023,1
"Pegasus-Airlines","Thanks","The best service ever! We could fly with them everywhere!😁 Regards all crew
-Karaoolan
-Mauis
-Doğan
-Terben
Sorry if i wrote incorret Yours names 😀",9,"2023",5
"Pegasus-Airlines","Skip this airline","Terrible leg space, worst ever.
If you are 1.85 or taller try to find an other airline. Your knees are stuck fot the entire flight",9,"2023",1
"Pegasus-Airlines","Terrible airline","Terrible arline ever. Always with delays, rudeness and carelessness. My last 4 flights with them had hours of delays. For ex they say its only one hour then they make you stand in the boarding line for 2 hours with no explanation or giving estimate of take off. Loke really rude and insulting. I only buy it when I really never have a choice. Thats why I hope they be bankrupted so other low cost carrier that have a shred of respect for people can take their place.",9,"2023",1
"Pegasus-Airlines","Worse experience ever","The worse flight ever. It’s my first and last time definitely. Very bad customer service, put more stress on you, not helpful at all. Non entertainment at the flight. Very special baggage weight 20 kg. Very narrow seats. All in all very bad experience and it wasn’t cheap, maybe 300 $ cheaper that a decent airlines.",9,"2023",1
"Pegasus-Airlines","Above and beyond!","Excellent, efficient and good value. Return trip especially good. Ercan to Istanbul delayed, thought we would miss the conection, met off the plane and taken to our connecting one. Even more surprised when even our luggage arrived with us back at Stansted, we'll done Pegasus.",9,"2023",4
"Pegasus-Airlines","Opodo/Pegasus scum bags","We bought tickets on Opodo company that linked with “pegasus”. Scam that they are running cooperatively is works this way. You buy a ticket you fly to your destination on the way back 4 hours before flight pegasus will cancel your flights and they will not refund and never notify you in time. Than they will sell your ticket back to you on double price. This scum bags need to be jailed and company have to be arrested. I wonder if government have any income out of that as they do not do much to solve this frauds. Please never use opodo or pegasus. When ringing them they will verbally abuse you swear at you and laugh at you. UK government needs to take step to demolish this scam bags other vise people will take action them selves and lots of pakis working on pegasus will get heart if not executed. Avoid this scum bags people value your money.",9,"2023",1
"Pegasus-Airlines","Not worth the cheapness at all","Yeah, horrible service. Charged me extra for a bag and then proceeded to loose it makeing me miss my next flight. Zero remorse",9,"2023",1
"Pegasus-Airlines","Extra rude staff","The flight itself was okay but people are allowed on board with 2-3 huge bags and suitcases as handluggage. Then extra rude flight attendants just throw your stuff without asking you out of the above compartment anywhere to fit in these huges bags. If you are okay with your stuff being potentially ruined and be shouted at, it is cheap…and kind of play otherwise. I dont think we will use this company again.",9,"2023",1
"Pegasus-Airlines","Delay for more than one hour, they even didnot apologized to Passengers (repeated issue on my previous flights)","If you travel by Pegasus from Turkey to Europian country (overall is fine, didnot observed issues).
However from/to Iraq they provide worst Airplan and Pilot.
Also, they should incease the Bag cargo weight to 30 KG, 20KG is less for some passengers.

Many time delay happen from this airline.",9,"2023",2
"Pegasus-Airlines","Worst trip in my life","If you want to be humiliated by junior staff, then you should probably fly with this airline. When I told the woman working at the counter that I wanted to complain about her and asked her to tell me her first and last name, she hid her badge. Then we started having a conflict, she called airport security and told the guards that I had attacked her. Then they invited the senior staff of Pegasus Airlines. And the boss said that she trusts the words of her subordinate, and not me (I have no doubt about this, they cover for each other). Despite the fact that my husband witnessed and confirmed my words, it turned out that the boorish and aggressive behavior of the service staff is normal, and all the blame is shifted to the client. Just a terrible experience.",9,"2023",1
"Pegasus-Airlines","No communication","Sat on the runway in a Pegasus plane waiting to take off, boarded over an hour ago when we were already an hour late and been on the plane now for a further hour, captain advised 45 minutes ago that he was just awaiting the luggage to to put on the plane and we still wait, just awful",9,"2023",1
"Pegasus-Airlines","Worst company ever !","Worst company ever ! At the airport, you have to put your luggage on the treadmills by yourself, wtf seriously! Never try this airline company again and also never come back to Turkey, people are awful.",9,"2023",1
"Pegasus-Airlines","Absolute worst airline","Worst worst worst airline ever. Lost my bags on a one hour local flight and then blamed me for losing it. Gave zero compensation despite my having travel insurance. Never fly pegasus - walk if you have to.",9,"2023",1
"Pegasus-Airlines","Horrible","The flight was canceled and there was no way to contact the airline. This was my first and last experience with them.",9,"2023",1
"Pegasus-Airlines","Always late so risky for transit journey","Actually, I used this airline 3 times in my life. Each time I have been very angry and completely dissatisfied because it is always late. Not just about 20 mins or 30 mins.. at least 1 or 1.5 hour late.
I remember some passengers easily missed their flight because of the airline delay for 1 hour. I was lucky because my final destination was Frankufrt.
I saw even some people swearing and yelling because they lost a lot of money without compensation which is crazy.
Watch out. I will never use this plane anymore simply because they are not effient or not on time always.",9,"2023",1
"Pegasus-Airlines","Avoid","I and my wife flew Ankara-Antalya, Antalya-Nurnberg on 10 Aug and again Nurnberg- Istanbul, Istanbul- Ankara on 8 Sept with Pegasus Airlines..
Each and every flight was delayed by at least one hour. Nurnberg check-in was absolute chaos. In flight service was virtually non existent.
I would not hesitate to call them worst airline in Turkey...",9,"2023",1
"Pegasus-Airlines","defective computer system","defective website that is full of bugs and doesn't function for flight changes!
the payment system doesn't work over the phone or app
ZERO response to the email in their system,
they seem to hate their clients",9,"2023",1
"Pegasus-Airlines","Horrid ! Unprofessional","Horrid just horrid, the moment I saw the air hostess laughing and joking whilst doing the safety briefing I knew they didn’t care ! Never ever again !",9,"2023",1
"Pegasus-Airlines","PEGASUS DROPS THE WHEELCHAIR PASSENGER INTO A CORNER AND LEAVES THE PERSON FOR EXTENDED TIME ALONE AND UNATTENDED","My wife and I flew from Bodrum to Istanbul Sabiha Gökçen Airport with Pegasus Airlines on September 10, 2023, with flight PC2255. Due to my health condition, I needed a wheelchair. At Bodrum Airport, 4.5 minutes after I called, the officer appeared in front of me with a wheelchair and I was amazed by this service. The flight was on time. After a super nice landing, they took me down last in a wheelchair, as per the rule, and left me in a hall at Sabiha Gökçen Airport. They said others would arrive in two or three minutes. They took the wheelchair and left. There was no one there except the cleaners. We asked various officials passing by how they could help. They all had excuses. “We do not look at that company etc.”. Meanwhile, after about 35 minutes, another wheelchair came across. He started to wait for his passenger. He said that he was not working to Pegasus and that he did not know anything about our subject. So we were forgotten.
There is no crowd at all. Does this person need water? No one asks what he does or what he needs. There is no number to call. No, there is nothing and no one.
They finally came with wheelchair. Although we passed through quite quickly, when we reached the luggage area, there was no one else but our luggage. One or two luggages were being collected in the adjacent belt.
So what's the point of taking me down and leaving me in a remote corner where you don't know who will come and when. Why can't the esteemed person who took me from the aircraft go all the way to the end (""sir, this is the procedure"" is not enough) or stop and wait until the other one comes to pass hand. He leaves me all alone and walks away (he talked outside with his friends for a while, so he didn't have much 'other work').
This ground handling service from Pegasus (or its business partner for that matter) gets a zero from me.
It's a shame, isn't it a sin?",9,"2023",1
"Pegasus-Airlines","Awful","Seats were uncomfortable
The worse airline flight that i ever saw
No space for each person when you seat",9,"2023",1
"Pegasus-Airlines","Garbage","Absolute garbage flight, delayed for over 3.5 hours, no explanation?
Rubbish flight
Rubbish plane, price on board extortionate.
Flight back delayed 1.5 hours, tried finding a customer service email address to send email, seems none exists. WILL NEVER FLY WITH THESE BANDITS EVER AGAIN BE WARNED!!!!!!!!!!",9,"2023",1
"Pegasus-Airlines","HORRIBLE","worst flight I have ever experienced
no place for legs, lot of delays, rude staff whether in the plane or in the airport
they also lost my luggage and were 0 helpful on the phone
the delivery of the luggage was also aweful

if you think you'll be okay with this and you'll save a few bucks, trust me you'll regret ever wanting to save some money",9,"2023",1
"Pegasus-Airlines","WORST AIRLINE","We experienced a significant flight delay on September 5, 2023, from Vienna to Istanbul, causing us to miss our connecting flight to Abu Dhabi. The delay of over 2 hours caused both inconvenience and financial strain. The assistance provided at Sabiha Gökçen International Airport by Pegasus Airlines was insufficient, especially considering our passport status. The options offered, including a flight after 2 days, were not viable due to visa restrictions. We were forced to book an earlier flight to Dubai, incurring extra expenses and inconvenience, as our car was parked in Abu Dhabi. This experience has been distressing.",9,"2023",1
"Pegasus-Airlines","Pleasant flight","Just done return flight with pegasus from Stansted too dalaman all I can say is they were great first flight 30 mins delay no problem flight home 20 mins delay no problem first time with them but wouldn't hesitate booking again staff pleasant booking in easy plane fine yeah u have a little less legroom but only on there 3 hrs so no need to bother worrying about it I think most of there trouble happens on internal turkey flights but I must say from start too finish I couldn't fault my experience with pegasus and I will book again until I have a bad experience with them",9,"2023",4
"Pegasus-Airlines","Worst Airline Ever Experienced","This airline doesn’t have any good service. They miss my baggage and delivered me when my vacation almost finished. I tried to send emails and call they customer service are rude and unprofessional. I got an updated I can buy my daily stuff and will reimburse later on. Now they don’t have any call center service in UAE and they don’t bother to check my emails.
I will say to everyone don’t even consider this airline even your last option.",9,"2023",1
"Pegasus-Airlines","Stay away from Pegasus, the worst company ever.","Awful experience. To start with our flight was delayed for more than 4 hours. Then, it landed in a different airport, without letting passanges know it. Then, they kept us for 2 hours in a plane before starting off to the destination airport. Altogether 8 hours delay, missed another flight to our final destination, lost a lot of money as I have to buy another flight the same day. They make people feel like a cattle. No exsuces, no refund, nothing
Rude, unprofessional, scam. 🤮",9,"2023",1
"Pegasus-Airlines","The worst airlines in the world","The worst airlines in history stay away they canceled my flight on the 4th of September without calling me out emailing me that my flight was canceled ,
I have a big fight with the head office barley got them to book me in for the next day cause I’m a business man I bought extra baggage space on the 4th since they canceled my flights and I booked in for they next day the 5th they recharged me another 500$ for the extra baggage , I will be taking this airlines to court literally scamming people out of there hard earned money see you guys in court my advise is don’t even travel with this airlines the worst in the world.",9,"2023",1
"Pegasus-Airlines","Pleasant","Despite all the negative reviews I had a thoroughly enjoyable experience of the airline, no delays, polite air crew and very steady journey, would recommend for the price, the food although you had to pay, was very nice especially the sandwiches",9,"2023",5
"Pegasus-Airlines","Awful/racist counter employee","Right of the bat, bad experience starts from their counter employees, a woman was checking my passport and asking me for the rest of my documents (visa etc...) In a very rude and aggressive way, I didn't pay much attention to her awful behavior, moreover, she got more aggressive once she found out that I'm Turkish and can't speak native tongue, so using English got her mad and started acting racist.

Long story short, I'm a Turkish passport holder with a tourist visa to Saudi Arabia and got DENIED BOARDING by the bad employee behind the counter as an act of racism.",9,"2023",1
"Pegasus-Airlines","Mr belal sabbagh","Terrible experience gates for next flight were closed in outbound and inbound flights , rude and unhelpful staff, many customers had the same terrible experience, airport is packed an",9,"2023",1
"Pegasus-Airlines","Worst airline and people","Worst airline ever. Please don't travel. The Turkish people are worst and illiterate. Racist idiots.",9,"2023",1
"Pegasus-Airlines","The worst experience ever","The worst experience I have ever had in my whole life.
I had my flight from Ankara to Istanbul and then to Belgrade. Coming to the airport I just knew that the flight was cancelled 2 days ago and I did no get any email about it. They sent me an SMS but how would I read that SMS if I’m abroad and my SIM card doesn’t work here?
Okay, the next same flight was supposed to be tomorrow which is already today.
I come to the airport and the flight was 1h15m delayed, with my 2h layover in Istanbul I could not make it on time, there’s no chance.
I run to the gate, ask the woman working there what can I do and if I can catch that flight, she goes “the plane is gone, the next one is in 3 days, go to the passport control and they will send you to the hotel”
I was terrified, the second time I’m trying to get home and because of the air company I just can’t make it happen.
Many people who had the same flight with the layover in Istanbul were late just because of Pegasus.
We all went to the information desk and they promised to help. The only thing they did is they changed our tickets to the next flights. BUT 3 DAYS COME ON!!!
It was not my fault in any possible way and because of Pegasus I can’t go to work for 5 days.
They provide the hotel in this case but I’m deeply upset and disappointed and I will never fly with Pegasus ever again.
I do not recommend Pegasus to anyone. Please be careful.
Because of them I’m stuck in Turkey :)",9,"2023",1
"Pegasus-Airlines","Book other airlines if you can","Every flight always late and always big time. Operation is poor and annoying l. Its the low part of the low cost",9,"2023",1
"Pegasus-Airlines","Delay","Flight has 7 hours delay at the last time and no one aware about the reason we just waited at the airport and no one could explain us why ..",8,"2023",2
"Pegasus-Airlines","Worst airline ever","The worst experience ever. Unfriendly and rude staff in the airplane and the airport. Always late not cleaned properly. I will never fly on this bad airline again. Wouldn't recommend it to anyone. I would rate it at zero if it was possible.",8,"2023",1
"Pegasus-Airlines","Flying with Pegasus","Airplane was good, staff were friendly and professional. Flight went on time (both ways). Suitcases arrived quickly.",8,"2023",4
"Pegasus-Airlines","Thanks","I was at the airport and almost to miss my flight because a mistake of my visa paper but it been solved very quickly by the supervisor of pegasus airlines Alm was so helpful, friendly, and smiling all the time I really appreciated for what he did to finish my problem and not miss my flight",8,"2023",5
"Pegasus-Airlines","Reviews a re misleading about Pegasus Airlines","After reading the reviews ı was worried about this airline but ı decided to take risk because Pegasus was really more affordable than its competitors. I did not face with any problem in onboard or in lagguages. The crew was fine and kind. I recommend you to fly with this airline.",8,"2023",5
"Pegasus-Airlines","The worst experience ever","I was coming from Zurich going to Muscat thru Istanbul SAW by Pegasus. The flight from Zurich delayed then I missed my next flight to Muscat. Very long que was standing in front of the small kiosk of Pegasus (one staff was there). Many flights were delayed so we all got stuck almost 4 hours to finally gave us unacceptable solutions. For me, as I don’t have Turkish visa, I had to wait in the airport 24 hours till the next flight and my mistake was “I don’t have Turkish visa”. They provide food from restaurants in the airport but when I went to that restaurants I found that no any meal I can order but what Pegasus defined and btw, what was defined by Pegasus was not available. Some other restaurants said the QR system is not working.

IT WAS FIRST TIME WITH PEGASUS AND LAST TIME. I CANNOT FORGET THE RUDE STAFF WHO WAS SHOUTING ON US. REALLY WAS NIGHTMARE.",8,"2023",1
"Pegasus-Airlines","The worst and rudeness on earth","The worst on earth. Please avoid them. The cabin crew is awful and their manager is just a passing jerk who is shouting at the passengers all the time. No water no service no decency. I wish they just shut down the business and sell socks on the Internet better. They ruined my trip",8,"2023",1
"Pegasus-Airlines","Nightmare experience","The cabin crew were rude, careless and unprofessional. I had a surgery in Istanbul, I was in pain and asked for water, three flights attendants ignored me, I called them again and I begged them for water to take my painkillers, they looked at each other and they gave water to people who they didn’t even want it, they gave water to people were sleeping. I cried and I had no choice except wait for them. I felt so intimidated and abused. They were enjoying torturing me. Finally I had to ask them again, and again a man sitting opposite to me looked at them and said she needs water to take her medication she is in pain and then they gave me a bottle. I felt so so angry 😡 they are disgusting, nasty, cruel creatures. I will never ever again travel on Pegasus. It was like a nasty nightmare experience. Please don’t use this airline . All the cabin crew need a proper training in customer services😡😡😡😡😡😡😡😡",8,"2023",1
"Pegasus-Airlines","avoid to save money and time","Absolutely disappointed with my recent experience on this airline. I had booked a supposedly 6-hour flight, only to be faced with a 24-hour delay. The lack of communication and the absence of any alternative options made this ordeal even worse. It's astounding how they managed to turn what should have been a simple journey into an exhausting and frustrating 24-hour ordeal. Avoid this airline at all costs if you value your time and sanity!",8,"2023",1
"Pegasus-Airlines","Horrible, avoid at ALL costs.","Took a flight from Marseille to Beirut via Istanbul-Sabiha for vacation. First to note was that the crew on the first flight was incredibly rude, literally, a kid told a FA ""Bonjour"" and she mocked him... The flight to Istanbul was ok though there was no in-flight entertainment, barely any legroom and food was very expensive. Trouble started once we arrived to SAW. Flight was delayed and I missed it (my mistake though), but there was no last call for that flight which was very peculiar while other flights had, even Pegasus flights. Going to the information counter was just hell. Not only did the company representatives barely speak a word of English but they took my passport and ticket and just waited... For what ? no clue. There was another flight to Beirut an hour after I had missed mine, I asked them to check for availability and I'm willing to pay whatever to be on it. They didn't even check, just put the passport on the counter and totally ignored me despite asking them multiple times and telling them that it was urgent, UNTIL AN HOUR LATER when the second flight was supposed to take off. Thinking I was saved and things were gonna get better alas they made me go through border police and left me all by myself without any support at the airport, not even giving me some instructions on what to do next, just putting me in front of the border police queue and going. Eventually I had to pay an additional 800€ to get to my destination ON ANOTHER (more expensive) AIRLINE switching to IST airport and getting stranded in Turkey for a total of 18 hours. Conclusion? They treat people like cattle, they don't care about their customers and don't even bother to try to.
Avoid this airline at ALL costs, if you care about your mental health just take another airline and spare yourself, it isn't worth ruining your entire voyage.",8,"2023",1
"Pegasus-Airlines","Terrible airline ever!!!! Please do not chose this one.","The most disgusting and unprofessional airline I have ever experienced. The staff is simply terrible, they should be taught atleast basic level of customer services.

The flight was supposed to fly ay 525am. None of the staff bothered to come to the gate. The automatic system even started flashing gate is closed for boarding, all customers were confused and were in tension. No one came to tell that the flight is delayed. This is stupid, how could you be so unprofessional. You should inform customers. Finally at 525am a person came, when i asked is there anyone to assist with the flight, he carelessly replied go back wait 20min we will start - like seriously. He was like he did not care at all. Even if I would not have asked, no one have bothered to say anything. The boarding finally started at 550am. Pathetic experience.

WOULD NEVER EVER AND EVER AND EVER CHOSE PEGASUS.",8,"2023",1
"Pegasus-Airlines","Poor service","Very poor customer service at Istanbul. Needed to rebook flights , the customer service team were very unhelpful resulting in me missing the flights for the day and also paying elevated flight price for next day (and I had to cover all expenses). I would avoid if possible.",8,"2023",2
"Pegasus-Airlines","Great low cost airline","After reading all this comments I was so scared to go in Pegasus but actually I had no problem with them the staff is friendly,the seats aren’t that bad we should always keep in mind that its low cost and they’re doing amazing job for the money you’re paying.I didn’t encounter any problem. Since I had a layover in Istanbul to go back to Casablanca I was scared that our luggage will be lost but it arrived safely.",8,"2023",5
"Pegasus-Airlines","Worst experience","The worst airline you could ever go into there times are very bad the delayed the plane time more than one time and the employees are not helpful and last but not least I don’t recommend this airline at all",8,"2023",1
"Pegasus-Airlines","Bad experience","I went from Amman to Izmir via Istanbul and back from Amman to Istanbul there was two hours delay and the second sector there was one hour delay and today on the way back Izmir Istanbul there was around two hour delay I still don’t know about last leg .",8,"2023",1
"Pegasus-Airlines","Stay away at every cost! Worst experience!!","The worst Airlines ever! It was 2 hours delayed Departing from Manchester to Istanbul, and when we finally started moving it suddenly stopped on the runway as the ground crew didn't put the luggage on! After 3 hours we took off. Our arrival time was 8. 40 pm we arrived at 12.00 am. Luggage took another hour to come out! This is nothing coming back to Manchester our flight was delayed 4 hours and our luggage is still there as the crew didn't remember to put the luggage in! Still waiting for luggage to come after 2 days 😡. Everyone on the plane was angry and not a single person had good thing to say about the airline. Don't even get me started on the staff! Absolutely rude and treated people as of they were children. I didn't have little children but I felt really sorry for families with babies and toddlers.
Never ever again. They say it's budget airlines but it cost is the same as normal airlines, not worth the money😡
They better fly our luggage otherwise they'll be paying 70 odd families for their luggage.
Stay clear and far away from them!",8,"2023",1
"Pegasus-Airlines","No regard for customers - a failure on every level!!","Flight was delayed by 2 hours and 30 mins. I had a 3 year old with me. When I tried to ask the representatives about the status of the flight after receiving no information for 2 hours other than updates via the digital display, I was completely ignored by the snobby representatives. One representative was extremely rude, she refused to speak to me, was mumbling something without looking at me, and signaled with her hand for me to go away. I've never been spoken to in such a manner. I understand the delays were obviously not her fault but to think that you can speak someone like that, someone who has paid for services is beyond me. What's more is that we weren't able to pick up our checked-in luggage. We were given no information about this so we had to wait for ages for our luggage to arrive. It is only when we enquired after a long delay that we were told it won't arrive now and will be delivered to a chosen address instead. I would never recommend them, they are a failure on every level!!",8,"2023",1
"Pegasus-Airlines","Worst experience ever!","I’ve been on many flights but have never seen such a thing! My flight keeps being delayed and so far it reached 11 HOURS of delay. Staff are not helpful at all. Definitely would not recommend to anyone!",8,"2023",1
"Pegasus-Airlines","Late","Our flight was late both ways and pegasus dont even give you information why. I dont recommend this company to anybody.",8,"2023",1
"Pegasus-Airlines","Very bad experience with Pegasus airlines","It was our first time traveling with Pegasus airlines and I guess it will be the last one. First , there is always a delay , bad communication, rude staff especially on the ground in Turkey. Bad organized for boarding.
I don’t recommend anyone looking for good service and the minimum of courtesy to use their airlines.
Dr Ghassan Hakim
USA",8,"2023",1
"Pegasus-Airlines","Terrible","Horrible. This airline can’t operate a flight without delay. This is my third flight with them in the past two weeks and all of them were delayed. Insufficient and rude staff. Amateur service. This is the cheapest airline but avoid it if you can. Your plans will be delayed so you will have to pay extra anyway.",8,"2023",1
"Pegasus-Airlines","Worse airline","The worst airline i have ever seen, disrespectful staff, un appropriate air plane, further more delaying time for 8 hours without reason and after sitting inside the plane for 2 hours",8,"2023",1
"Pegasus-Airlines","Worst airline ever","The worst experience I had in my life. The flight attendants were unfriendly, ignorant and rude. On my return the flight was cancelled 6 hours before departure so I had to reschedule it for the next day. No compensation was given for the cancellation, no accommodation was provided. Not recommend to fly with Pegasus airlines.",8,"2023",1
"Pegasus-Airlines","The WORST!","Had an extremely disappointing experience flying with Pegasus. As a former airline staff member, I was shocked by the level of service. The flight was delayed by a staggering 1.5 hours, even though the staff initially assured us it would only be a 20-minute delay. Upon arrival, the baggage was inexplicably left next to the plane for 57 minutes before finally being moved indoors. Unfortunately, there was no assistance or willingness to help from any of the staff members. I strongly recommend avoiding this airline at all costs.",8,"2023",1
